date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-03 23:59:47,wuzagooddog,KesRunsSlow,1,0,5,"Better than mine. #BernieSanders cares.",,,#BernieSanders,1179908940286644226,https://twitter.com/wuzagooddog/status/1179908940286644226
2019-10-03 23:59:43,alemakesusmile,,0,0,1,"El Bernie Sanders ya no sabe como pelear para que lo voten en las siguientes elecciones. #simediorisa jaja",,,#simediorisa,1179908920774713345,https://twitter.com/alemakesusmile/status/1179908920774713345
2019-10-03 23:59:33,ONowland,,0,0,0,"Bernie Sanders was hospitalized with chest discomfort and has cancelled all 2020 campaign events ... https://www.yahoo.com/news/bernie-sanders-hospitalized-chest-discomfort-152140177.html?.tsrc=fauxdal …",,,,1179908879561478144,https://twitter.com/ONowland/status/1179908879561478144
2019-10-03 23:59:28,wdelfs,hysell2020,2,0,0,"One thing and do another ie communist. Drives around in a large suv drinking water from a plastic water bottle. What else do you need. Bernie Sanders lives in 3 houses and flies in private jets. Gore spouted environmental crisis and had a $1500 electric bill.",,,,1179908861005910016,https://twitter.com/wdelfs/status/1179908861005910016
2019-10-03 23:59:08,Tav_assoli,leahstokes,1,4,13,"""Finally""?!... Where have you been, Leah, Bernie Sanders has been calling this out for years. https://twitter.com/leahstokes/status/1179865344862609408 …",,,,1179908777673461761,https://twitter.com/Tav_assoli/status/1179908777673461761
2019-10-03 23:59:02,RobertH48756949,,0,0,0,"Jimmy Dore comments: Look I love Bernie Sanders I love his policies but I hate his strategist the reason why Bernie is going to lose is because he plays by the rules he should be running against the Democrat Party not for them Donald Trump didn't play by the rules and he won.",,,,1179908752042070017,https://twitter.com/RobertH48756949/status/1179908752042070017
2019-10-03 23:59:01,RobertH48756949,,1,0,0,"https://youtu.be/g_jlW-SkjHY On Rising Jimmy Dore stops by as a guest and claims that Bernie Sanders wants to win the Democratic nomination he's got to stop playing by the rules.",,,,1179908745775722497,https://twitter.com/RobertH48756949/status/1179908745775722497
2019-10-03 23:58:46,Worley9T,BernieSanders,0,0,0,"1st-get well soon Mr sanders. 2nd- the reason I think..there are clowns is some of us don't like going to the Dr. Anyway and supposedly a happy patient is a healthy patient. 3rd- eat in moderation . as many times a day as u r comfortable with. 4th. Here's to being the best.",,,,1179908682814873600,https://twitter.com/Worley9T/status/1179908682814873600
2019-10-03 23:58:24,eddynext,ibrahimpols,0,0,0,"Under Bernie Sanders this wealthy man will have to give up a tiny fraction of his wealth (which he ""legally"" stole from the working class anyways) in order to fund Medicare for All, Free College Tuition and pardon student debt...but that's unacceptable, so he'll move to Australia",,,,1179908589873446912,https://twitter.com/eddynext/status/1179908589873446912
2019-10-03 23:58:18,RichTha510,BernieSanders,0,0,0,"Thank God you are okay. I think America is breathing a sigh of relief now. We, #NotMeUS are right here behind you %! #BernieSanders is the next @POTUS ! #FeelTheBern #StillSanders Now, it's time for us all to #CANCELMSNBC!!! This is pure TRASH!!https://youtu.be/Gz--nlvyZhg",,@POTUS,#NotMeUS #BernieSanders #FeelTheBern #StillSanders #CANCELMSNBC,1179908567282978816,https://twitter.com/RichTha510/status/1179908567282978816
2019-10-03 23:58:11,shift_in2_turbo,,0,0,1,"Bernie Sanders Will Participate In #LGBT Town Hallhttp://www.ontopmag.com/article/47353/Bernie_Sanders_Will_Participate_In_LGBT_Town_Hall#.XZaLBI39wts.twitter …",,,#LGBT #,1179908535813132288,https://twitter.com/shift_in2_turbo/status/1179908535813132288
2019-10-03 23:57:45,dickravis,killjoy412,0,0,1,"Tulsi Gabbard - Not a Democrat Bernie Sanders - Not a Democrat",,,,1179908425964109826,https://twitter.com/dickravis/status/1179908425964109826
2019-10-03 23:57:41,realJohnCurley,,0,0,0,"Joe Biden Trails Bernie Sanders, Pete Buttigieg in Recent Fundraising Joe Biden trailed rivals Sen. Bernie Sanders and Indiana Mayor Pete Buttigieg in July, August and September fundraising, setting up what will be another round of questions about wheth… https://ift.tt/333Z96a",,,,1179908412777349121,https://twitter.com/realJohnCurley/status/1179908412777349121
2019-10-03 23:57:33,emmabeverage,,0,0,0,"BREAKING: Bernie Sanders undergoes Stent Procedure for heart, Tulsi Good... https://youtu.be/RoCKFlp285E via @YouTube",,@YouTube,,1179908378547691531,https://twitter.com/emmabeverage/status/1179908378547691531
