date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-08-08 23:59:52,FrankMo96909290,RosieGray,0,0,0,"Joe Biden's face looks like an angry knee in this video. https://twitter.com/RosieGray/status/1159554064927133698 …",,,,1159615239656054784,https://twitter.com/FrankMo96909290/status/1159615239656054784
2019-08-08 23:59:48,finwiz416,,0,0,1,"Watch: Breitbart News Confronts Joe Biden About Misquoting Trump on Charlottesville http://bit.ly/2yNusFm via @BreitbartNews",,@BreitbartNews,,1159615221251657730,https://twitter.com/finwiz416/status/1159615221251657730
2019-08-08 23:59:45,MarkMcIntire7,,1,0,0,"Haha Joe is more stupid than creepy: “We choose science over fiction,” Biden said. “We choose truth over facts.” Confusion at the Iowa State Fair? Biden says ‘we choose truth over facts' https://fxn.ws/33kIgW2 #FoxNews",,,#FoxNews,1159615209998188544,https://twitter.com/MarkMcIntire7/status/1159615209998188544
2019-08-08 23:59:35,USRealityCheck,,0,0,1,"Biden says Trump fans 'flames of white supremacy' as Democrats attack racism Democratic presidential front-runner Joe Biden on Wednesday accused Republican President Donald Trump of fueling the white supremacy beliefs blamed for several U... http://twib.in/l/8LdR5RX5j9pq #USNews #USRCpic.twitter.com/DEyUODxoCt",,,#USNews #USRCpic,1159615167904342016,https://twitter.com/USRealityCheck/status/1159615167904342016
2019-08-08 23:59:23,MichaelJEvansFL,,0,0,0,"What a Trainwreck: Joe Biden Asked About His Favorite Historical Figure Who Was Not a President... Answers: Thomas Jefferson https://www.thegatewaypundit.com/2019/08/what-a-trainwreck-joe-biden-asked-about-his-favorite-historical-figure-who-was-not-a-president-answers-thomas-jefferson/ … via @gatewaypundit !surprised he didn’t say Obummer! And he thinks he has a chance!",,@gatewaypundit,,1159615120374476800,https://twitter.com/MichaelJEvansFL/status/1159615120374476800
2019-08-08 23:59:17,SkuggKrigare,,0,1,0,"JOE BIDEN IS A LIAR. #walkaway Watch: Breitbart News Confronts Joe Biden About Misquoting Trump on Charlottesville https://www.breitbart.com/2020-election/2019/08/08/watch-breitbart-news-confronts-joe-biden-about-misquoting-trump-on-charlottesville/ …",,,#walkaway,1159615091974791168,https://twitter.com/SkuggKrigare/status/1159615091974791168
2019-08-08 23:59:08,MrFriendWilkins,,1,0,0,"If Joe Biden stays as sharp as he was yesterday in Iowa, he'll beat @realDonaldTrump I guarantee it. But if Joe Biden doesn't show up next year, if he stumbles and falters, Trump will steamroll him. Let's pray for the former. The soul of our country depends on it. #Biden2020",,@realDonaldTrump,#Biden2020,1159615054616104961,https://twitter.com/MrFriendWilkins/status/1159615054616104961
2019-08-08 23:58:57,fractagon,,0,0,2,"Fuck Joe Biden",,,,1159615011284803585,https://twitter.com/fractagon/status/1159615011284803585
2019-08-08 23:58:56,Real_The_Goof,amandavcrump,3,0,4,"I never wanted to vote for Joe Biden.. i kept throwing a fit .. basically saying expect more Trump... But now i feel like i'm forced to vote for who ever the DNC chooses as long as they fix this insanity. If @JoeBiden Can promise to fix all of this.. i've got no choice.",,@JoeBiden,,1159615005643460608,https://twitter.com/Real_The_Goof/status/1159615005643460608
2019-08-08 23:58:43,EllisWeiner,jonathanchait,0,1,0,"This. Someone--maybe from what I call ""the media""--should ask Biden how he can be so accurate about Trump's wretched character, and so blithely ignore how the GOP has become Trump's happy chorus line. THEY'RE AS BAD AS HE IS, Joe. https://twitter.com/jonathanchait/status/1159598411311542272 …",,,,1159614949225668609,https://twitter.com/EllisWeiner/status/1159614949225668609
2019-08-08 23:58:35,TrussElise,,0,0,0,"What a Trainwreck: Joe Biden Asked About His Favorite Historical Figure Who Was Not a President... Answers: Thomas Jefferson https://www.thegatewaypundit.com/2019/08/what-a-trainwreck-joe-biden-asked-about-his-favorite-historical-figure-who-was-not-a-president-answers-thomas-jefferson/ … via @gatewaypundit",,@gatewaypundit,,1159614916174761990,https://twitter.com/TrussElise/status/1159614916174761990
2019-08-08 23:58:30,RealKiraDavis,,5,1,4,"Joe Biden Tells Crowd To ""Choose Truth Over Facts"" https://www.redstate.com/kiradavis/2019/08/08/joe-biden-tells-crowd-choose-truth-facts/ …",,,,1159614897245712384,https://twitter.com/RealKiraDavis/status/1159614897245712384
2019-08-08 23:58:18,chiefjbcop1,,0,0,0,"Trump 2020 so sick of the racist crap. Everytime you disagree with a person of color your a racist. Well Obama sucked as a President and Joe Biden as vice President .",,,,1159614843781033984,https://twitter.com/chiefjbcop1/status/1159614843781033984
2019-08-08 23:58:16,brent74,ladydwinter,0,0,0,"If i'm attacked asking a question to Joe Biden does that make me a neoliberal? Because any and all bystanders that were attacked by the domestic terror group antifa charlottesville are magically Nazis according to Biden. :D",,,,1159614839049900032,https://twitter.com/brent74/status/1159614839049900032
2019-08-08 23:58:07,simulator8,,0,0,0,"Joe Biden in tense confrontation with Breitbart writer over Trump’s comments on white supremacy https://www.yahoo.com/news/joe-biden-tense-confrontation-breitbart-212250567.html …",,,,1159614800080625665,https://twitter.com/simulator8/status/1159614800080625665
2019-08-08 23:58:03,danvzla,,0,0,0,"Joe Biden shuts down Breitbart News reporter on 'fine people' quote - Business Insider https://www.businessinsider.com/joe-biden-shuts-down-breitbart-reporter-trump-fine-people-quote-2019-8 …",,,,1159614781936062464,https://twitter.com/danvzla/status/1159614781936062464
2019-08-08 23:57:56,VictoriaSerbia,,0,1,1,"Watch: Breitbart News Confronts Joe Biden About Misquoting Trump on Charlottesville | Breitbart http://bit.ly/2yNusFm via @BreitbartNews",,@BreitbartNews,,1159614755616755713,https://twitter.com/VictoriaSerbia/status/1159614755616755713
