,Aug8,Aug15,Aug27,Sept7,Sept11,Sept12,Sept17,Sept21,Sept24
Negative,0.10073,0.06788,0.08026,0.08866,0.06112,0.0713,0.07876999999999999,0.09815,0.04136
Positive,0.10188,0.13062,0.109,0.13287,0.11366,0.09764,0.10619,0.09444,0.09838
