date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-08-27 23:59:52,DAMasiello,realDonaldTrump,0,0,0,"Doesn't matter what Republican runs against you. Elizabeth Warren is going to kick your ass.",,,,1166500610117685249,https://twitter.com/DAMasiello/status/1166500610117685249
2019-08-27 23:59:43,twteaparty,,0,0,0,"Elizabeth Warren Says Americans Should be Forced to Fund Abortions for Poor Women https://www.lifenews.com/2019/06/10/elizabeth-warren-says-americans-should-be-forced-to-fund-abortions-for-poor-women/?fbclid=IwAR3z5_lYNrMpXCBMT_HHZ3klD3-EPZxN1xixoHn9qzFXBYqwrKtyIvTKX7I …",,,,1166500573845303298,https://twitter.com/twteaparty/status/1166500573845303298
2019-08-27 23:59:43,SelkeLinda,realDonaldTrump,0,0,0,"Oh, let’s all pray a photo of Melania lovingly gazing at Elizabeth Warren doesn’t hit the internet today. However innocent it would be, well, just too soon.",,,,1166500570602995717,https://twitter.com/SelkeLinda/status/1166500570602995717
2019-08-27 23:59:35,jrgoob,dannybarefoot,0,0,2,"What an expert. Danny Barefoot: Democrat who has decided to Support (sic) Elizabeth Warren. Is this even real life?",,,,1166500538231513089,https://twitter.com/jrgoob/status/1166500538231513089
2019-08-27 23:59:25,summer7570,,0,0,0,"Donald Trump Can Use 'Pocahontas' on Elizabeth Warren to 'Do Exactly What He Did to Hillary Clinton': GOP Consultant #SmartNews Nope. He can use slurs and he just looks pitiful.https://www.newsweek.com/trump-pocahontas-elizabeth-warren-hillary-clinton-1456389 …",,,#SmartNews,1166500497345449984,https://twitter.com/summer7570/status/1166500497345449984
2019-08-27 23:59:18,FlufffyMonkey,ewarren,0,0,0,"I’ll say it over and over again until y’all hear me.... WE STAN ELIZABETH WARREN OKAAAYYY https://twitter.com/ewarren/status/1166359293425344514 …",,,,1166500468593266689,https://twitter.com/FlufffyMonkey/status/1166500468593266689
2019-08-27 23:59:18,danrivera01843,,0,0,0,"Monmouth poll: Bernie Sanders, Joe Biden and Elizabeth Warren in three-way lead for Democratic bid https://www.cnn.com/2019/08/26/politics/monmouth-august-democrats-biden-warren-sanders/index.html?ofs=fbia …",,,,1166500468488593409,https://twitter.com/danrivera01843/status/1166500468488593409
2019-08-27 23:59:18,MBonifacio2,,0,0,0,"Elizabeth Warren: Former Republican – 2020 Election Alert! https://shar.es/aXczo2",,,,1166500467733618692,https://twitter.com/MBonifacio2/status/1166500467733618692
2019-08-27 23:59:13,imx007,,0,0,0,"#RT @realDonaldTrump: They do stories so big on Elizabeth “Pocahontas” Warren’s crowd sizes, adding many more people than are actually there, and yet my crowds, which are far bigger, get no coverage at all. Fake News!",,@realDonaldTrump,#RT,1166500444430094337,https://twitter.com/imx007/status/1166500444430094337
2019-08-27 23:59:06,WhorishTwink,,0,1,4,"if Elizabeth Warren wins the presidency locals will have a field day with this picture pic.twitter.com/7E2benGXya",,,,1166500415590031360,https://twitter.com/WhorishTwink/status/1166500415590031360
