date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-03 23:59:59,Jemsinger,,0,3,5,"Within two hours of @KamalaHarris calling for transcripts of Trump-Xi call CNN now reports Trump said China should investigate Joe Biden and his son on a phone call. Knowing how to prosecute matters. https://www.cnn.com/2019/10/03/politics/trump-biden-call-xi-secure-server/index.html …pic.twitter.com/wZI78OZTkO",,@KamalaHarris,,1179908991410941955,https://twitter.com/Jemsinger/status/1179908991410941955
2019-10-03 23:59:58,LI_Catfish,chrisanic,1,0,0,"Who, Joe Biden?>",,,,1179908985220149256,https://twitter.com/LI_Catfish/status/1179908985220149256
2019-10-03 23:59:56,atlcomixfan,,0,0,0,"A bipartisan group of lawmakers echoed then-Vice President Joe Biden’s push for anti-corruption reforms in Ukraine, including within the... https://www.aol.com/article/news/2019/10/03/republicans-called-for-ukraine-reforms-in-2016-letter/23826430/?a_dgi=aolshare_facebook …",,,,1179908975401340930,https://twitter.com/atlcomixfan/status/1179908975401340930
2019-10-03 23:59:51,Buckysmiles,brianschatz,0,0,0,"More threats, obstruction, transcripts, secret calls on secret servers, more attempts to smear Joe and Hunter Biden and Elizabeth Warren, and....oh, there's a new whistleblower, too. This one's in the IRS. Something about hiding tax returns of both Trump and Pence. Oooooh.",,,,1179908957529350146,https://twitter.com/Buckysmiles/status/1179908957529350146
2019-10-03 23:59:49,chascar731,,0,2,2,"Biden, Inc.: How ‘Middle Class’ Joe’s family cashed in on the family name https://politi.co/2KcoKUf via @politico",,@politico,,1179908948989747200,https://twitter.com/chascar731/status/1179908948989747200
2019-10-03 23:59:49,lewsmuse,,0,0,0,"Joe Biden is not President Trump's political rival. Joe Biden is a private citizen running for president. He hasn't been nominated. He's nothing. BTW, why is okay for every Democrat presidential candidate to attack President Trump and accuse him of crimes?",,,,1179908946116542464,https://twitter.com/lewsmuse/status/1179908946116542464
2019-10-03 23:59:48,TruthAlabama,Newsweek,1,0,0,"Joe Biden’s admitted a strong arming of Ukraine to fire a foreign prosecutor isn’t suspicious?",,,,1179908942320848898,https://twitter.com/TruthAlabama/status/1179908942320848898
2019-10-03 23:59:47,TheHoun76182044,chuckwoolery,0,1,2,"Hunter Biden flew on Air Force 2 with VP Joe Biden to China before securing a billion dollar deal with the Chinese government. Why won’t Joe Biden answer any questions about this? How does Hunter Biden get a job he has no experience in that pays $50k/month?! Biden’s are Corrupt!",,,,1179908939015700484,https://twitter.com/TheHoun76182044/status/1179908939015700484
2019-10-03 23:59:42,826352,perrygershon,0,1,2,"Prosecutor said he was fire because of he would not stop investigating company Hunter was involved in Biden said he was fired as he was not investigating corruption Now ask yourself why would Joe get him fired for not investigation the corrupt company his son was involved in?",,,,1179908919537352711,https://twitter.com/826352/status/1179908919537352711
2019-10-03 23:59:42,JamesGBrasil,,1,0,15,"3/n É o conceito de não solicitar nem aceitar “foreign influence” O Trump pediu à China hoje ajuda em obter informações contra o rival principal dele nessa eleição, o Joe Biden Eu, libertário (mas voto nos republicanos) de jeito nenhum vou sacrificar meus valores...",,,,1179908917784174592,https://twitter.com/JamesGBrasil/status/1179908917784174592
2019-10-03 23:59:39,flashrjb,seanhannity,0,0,0,"A bipartisan group of lawmakers echoed then-Vice President Joe Biden’s push for anti-corruption reforms in Ukraine, including within the country’s office of the prosecutor general, according to a 2016 letter unearthed by CNN.",,,,1179908906950090752,https://twitter.com/flashrjb/status/1179908906950090752
2019-10-03 23:59:38,ibrushnroll,,0,0,0,"Is Joe Biden's Touchiness Out Of Touch? Revisit His Mock Swear-Ins | NBC... https://youtu.be/DAUOurZIVfI via @YouTube",,@YouTube,,1179908902063923201,https://twitter.com/ibrushnroll/status/1179908902063923201
2019-10-03 23:59:38,joetynan,,0,0,0,"Trump: *Tariff’s the hell out of China. Also Trump: China, can you investigate Joe Biden for me?",,,,1179908899840774144,https://twitter.com/joetynan/status/1179908899840774144
2019-10-03 23:59:36,onomaru1,WSJ,0,0,0,"NBC News reports that Hunter Biden met with a Chinese banker while joining then-VP Joe Biden’s official 2013 trip to China. He was attempting to form a Chinese privet equity fund,10 days after the trip Chinese authorities issued the funds business license. pic.twitter.com/GlqIvS3IRZ",,,,1179908892354076672,https://twitter.com/onomaru1/status/1179908892354076672
2019-10-03 23:59:35,babadookspinoza,,2,0,36,"Just imagining President Xi hearing the news that Joe Biden is a communist.",,,,1179908887476080651,https://twitter.com/babadookspinoza/status/1179908887476080651
2019-10-03 23:59:34,FredGiuffrida,BrianPerriraz,1,0,0,"First, quid pro quo isn’t important. Being POTUS is the quid pro quo in and of itself. Gee China. I know we’re in a trade war, but know what I’d live? Dirt on Joe Biden.",,,,1179908885492195328,https://twitter.com/FredGiuffrida/status/1179908885492195328
2019-10-03 23:59:33,CHIZMAGA,,22,93,235,"If Joe Biden becomes President, Hunter Biden might crack the Top 100 Wealthiest People in the World list.",,,,1179908882698625024,https://twitter.com/CHIZMAGA/status/1179908882698625024
2019-10-03 23:59:27,danthe727man,ProducerRobbie,0,0,0,"Doubt it.... i don't see Kamala screwing Joe Biden. Maybe Cory Booker.... but i think Biden is to old even for Kamala.",,,,1179908857210052610,https://twitter.com/danthe727man/status/1179908857210052610
2019-10-03 23:59:24,TheHoun76182044,ChrisMurphyCT,0,0,0,"Hunter Biden flew on Air Force 2 with VP Joe Biden to China before securing a billion dollar deal with the Chinese government. Why won’t Joe Biden answer any questions about this? How does Hunter Biden get a job he has no experience in that pays $50k/month?! Biden’s are Corrupt!",,,,1179908843091976192,https://twitter.com/TheHoun76182044/status/1179908843091976192
2019-10-03 23:59:23,StewartSeltz,Murdokahn,1,0,1,"The quid for personal gain is itself an abuse of power, and federal election law prohibits the solicitation of a ""thing of value"" in connection with a US election from a foreign power. Trump was soliciting an investigation particularly into Joe Biden as a ""favor"" (his words).",,,,1179908838943789057,https://twitter.com/StewartSeltz/status/1179908838943789057
