date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-16 23:59:59,raynman123,,6,13,24,"Obama Endorses Justin Trudeau. He Still Hasn’t Endorsed Joe Biden - https://go.shr.lc/35E6gEF",,,,1184620032996720640,https://twitter.com/raynman123/status/1184620032996720640
2019-10-16 23:59:58,Tin_Whistles,CancerPoster,0,0,0,"Joe Biden unironically",,,,1184620028139917312,https://twitter.com/Tin_Whistles/status/1184620028139917312
2019-10-16 23:59:55,JohnFavere,,1,4,2,"BREAKING NEWS FROM WASHINGTON DC QUESTIONS NEED TO BE ANSWERED REGARDING MIKE PENCE AN CAIR MUSLIM BROTHERHOOD WHY WOULD MIKE PENCE BRING SOMEONE TO WASHINGTON DC TIED TO JOE BIDEN.. BERNIE SANDERS.. PLUS THEY HATE PRESIDENT TRUMP. THE QUESTION IS WHY ⁦ @realDonaldTrump⁩pic.twitter.com/CwO6f13xp4",,@realDonaldTrump,,1184620015200460800,https://twitter.com/JohnFavere/status/1184620015200460800
2019-10-16 23:59:50,TimesJoyous,DonaldJTrumpJr,0,0,0,"Does Joe Biden make you nervous, Biff? Sure as hell seems to be the case!",,,,1184619995227144192,https://twitter.com/TimesJoyous/status/1184619995227144192
2019-10-16 23:59:50,chatcher2,,0,0,0,"Joe Biden Calls For Trump’s Lawyer Rudy Giuliani To Go To Jail - http://eepurl.com/gGMiDP",,,,1184619992597307397,https://twitter.com/chatcher2/status/1184619992597307397
2019-10-16 23:59:49,JasonParge,Satch17871,0,0,0,"With irrefutable evidence of corruption & the Media’s flat refusal to admit Joe Biden’s at the center, Cavuto thinks accusing an opponent in a presidential election of corruption is in poor taste & looks bad! Dems would never https://twitter.com/Satch17871/status/1184573074513055745 …",,,,1184619989812142080,https://twitter.com/JasonParge/status/1184619989812142080
2019-10-16 23:59:44,icedcawffee,,0,0,0,"Joe Biden is a twat",,,,1184619969067094016,https://twitter.com/icedcawffee/status/1184619969067094016
2019-10-16 23:59:38,ulricson,,0,0,0,"AWKWARD: Barack Obama Endorses Justin Trudeau Ahead of Canada's Election - Ignores Joe Biden https://www.thegatewaypundit.com/2019/10/awkward-barack-obama-endorses-justin-trudeau-ahead-of-canadas-election-ignores-joe-biden/ … via @gatewaypundit",,@gatewaypundit,,1184619945734410240,https://twitter.com/ulricson/status/1184619945734410240
2019-10-16 23:59:36,davidvkiser,Cernovich,0,0,0,"Both the Democratic Party, including Joe Biden, along with the Republican Party Rhinos threw South Vietnam to the Communist wolves of North Vietnam, after 58,000 KIAs, 300,000 WIAs, Americans, and they cared less. I support President Trump in his Syrian decision.",,,,1184619935768567809,https://twitter.com/davidvkiser/status/1184619935768567809
2019-10-16 23:59:36,DonnaMillar322,,0,1,0,"Glenn Beck: Not Even Democrats Like Joe Biden I Wilkow https://youtu.be/GKL0Um3-j2U via @YouTube",,@YouTube,,1184619933919010818,https://twitter.com/DonnaMillar322/status/1184619933919010818
2019-10-16 23:59:12,RPlexxo,,0,1,0,"Joe Biden Tells Trump: ‘Release Your Tax Returns Or Shut Up’ The former vice president and 2020 candidate accused the president of “running the most corrupt government in the history of the United States of America.” https://www.huffpost.com/entry/joe-biden-donald-trump-tax-returns_n_5da79655e4b0b5c9be48ab22?ncid=tweetlnkushpmg00000067 …",,,,1184619833230528512,https://twitter.com/RPlexxo/status/1184619833230528512
2019-10-16 23:59:11,BarberMakeba,ewarren,0,0,0,"Joe Biden got it done when he was a senator. Don't know what is wrong with you.",,,,1184619831108067328,https://twitter.com/BarberMakeba/status/1184619831108067328
2019-10-16 23:59:10,behar_melissa,LarryNn757,0,0,2,"Joe Biden yes",,,,1184619827782127619,https://twitter.com/behar_melissa/status/1184619827782127619
2019-10-16 23:59:09,RobertJByars,,0,0,0,"Joe Biden's niece dodges jail after $100K credit card scam https://nypost.com/2017/06/09/joe-bidens-niece-dodges-jail-after-100k-credit-card-scam/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypmetro",,@nypmetro,,1184619822203707392,https://twitter.com/RobertJByars/status/1184619822203707392
2019-10-16 23:59:06,DannyMc39131838,,1,0,0,"Joe Biden Tells Trump: ‘Release Your Tax Returns Or Shut Up’ https://www.huffpost.com/entry/joe-biden-donald-trump-tax-returns_n_5da79655e4b0b5c9be48ab22 … #ReleaseShutup",,,#ReleaseShutup,1184619808332976129,https://twitter.com/DannyMc39131838/status/1184619808332976129
2019-10-16 23:58:59,RubinsBlockList,,0,0,1,"Alright I am stanning for Warren a bit today, Joe Biden has me on one. Trump better drop Biden like a sack of shit on this Ukraine thing and then go down with him. I'm still in this tank for Bernie. Hunter Biden for VP.",,,,1184619781053452296,https://twitter.com/RubinsBlockList/status/1184619781053452296
