date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-09-24 23:59:57,tvshub,MarieNoel45,0,0,1,"T.R.U.M.P....2.0.2.0. Bring it on Democrats You WILL lose the HOUSE You already LOST the SENATE And the PRESIDENCY Joe Biden is a JOKE & a CROOKlike his daddy OBAMA T.R.U.M.P....2.0.2.0. https://twitter.com/MarieNoel45/status/1176617799906734080 …",,,,1176647488641601537,https://twitter.com/tvshub/status/1176647488641601537
2019-09-24 23:59:55,GoBeachie,marielct5,1,1,2,"The DNC begged Joe Biden to run. BHO refused to endorse him. Now we are learning why. The Biden Family is corrupt.",,,,1176647481427398657,https://twitter.com/GoBeachie/status/1176647481427398657
2019-09-24 23:59:53,MikeFoster_ATL,JohnParshon,2,0,0,"I don't like Joe Biden either.",,,,1176647475253469185,https://twitter.com/MikeFoster_ATL/status/1176647475253469185
2019-09-24 23:59:53,cgowlvUSA,,0,0,1,"#UkraineBidenCollusion 2016 #RealNews #FactsMatter FORMER VP Joe Biden orchestrated a quid-pro-quo re his son #HunterBiden, money exchanging for and demanding a persons firing to playball. #RealDirty Text “TRUMP” to 88022pic.twitter.com/FSC3eiwUHG",,,#UkraineBidenCollusion #RealNews #FactsMatter #HunterBiden #RealDirty,1176647474716409856,https://twitter.com/cgowlvUSA/status/1176647474716409856
2019-09-24 23:59:53,themattscanlon,jtyler220,0,0,2,"If you’re Joe Biden this is terrible news. Somewhere in America, Corn Pop is celebrating.",,,,1176647473651224577,https://twitter.com/themattscanlon/status/1176647473651224577
2019-09-24 23:59:53,pigbloodpond,,1,0,4,"GOD pelosi is so utterly useless waiting till the end of his entire term and only then because he went after joe biden for making skeeze deals",,,,1176647473449721856,https://twitter.com/pigbloodpond/status/1176647473449721856
2019-09-24 23:59:49,greenwoodpe,dcexaminer,0,0,0,"Interesting, because this guy has more baggage than Joe Biden. Particularly when you start looking at his involvement with Iran. $150B..?..",,,,1176647456211316736,https://twitter.com/greenwoodpe/status/1176647456211316736
2019-09-24 23:59:48,jffree1,,0,0,0,"""They're Trying to Turn a Joe Biden Scandal into a Trump Problem"" - Trump Campaign Responds to Speaker Pelosi's Impeachment Announcement https://www.thegatewaypundit.com/2019/09/theyre-trying-to-turn-a-joe-biden-scandal-into-a-trump-scandal-trump-campaign-responds-to-speaker-pelosis-impeachment-announcement/ … via @gatewaypundit",,@gatewaypundit,,1176647454294499329,https://twitter.com/jffree1/status/1176647454294499329
2019-09-24 23:59:48,ScottU222,RepAdamSchiff,0,0,0,"Joe Biden’s Son was running around with his dead brothers wife. He also was a drug addict in the military. What a corrupt immoral family of liars and socials perverts. Jail Biden’s.",,,,1176647453766049792,https://twitter.com/ScottU222/status/1176647453766049792
2019-09-24 23:59:48,Omy19703647,RudyGiuliani,0,0,0,"Joe Biden confessing https://www.facebook.com/1736218308/posts/10206650766784612?sfns=mo …",,,,1176647451165564929,https://twitter.com/Omy19703647/status/1176647451165564929
2019-09-24 23:59:45,nmiamifl,RBReich,0,0,0,"And will expose Joe Biden's corruption in Ukraine from money laundering to bribery using taxpayer money-a $Billion worth. Thank you, Nancy",,,,1176647438846894081,https://twitter.com/nmiamifl/status/1176647438846894081
2019-09-24 23:59:41,MAGAnificent_7,,0,0,0,"CNN Guest: Hunter Biden Was Clearly 'Selling Influence,’ Joe Likely Knew https://www.breitbart.com/2020-election/2019/09/24/cnn-guest-hunter-biden-was-clearly-selling-influence-hard-to-imagine-joe-wasnt-aware/ …",,,,1176647423612964864,https://twitter.com/MAGAnificent_7/status/1176647423612964864
2019-09-24 23:59:36,PassineauAlbert,StormIsUponUs,0,3,3,"And that is what an “imperialist presidency” looks like - Joe Biden, at the direction of Obama, dictating to countries how they are allowed to govern. And Trump is the “bad guy” cuz he asked Ukraine to investigate Biden’s imperialist intervention in Ukraine?",,,,1176647403400847360,https://twitter.com/PassineauAlbert/status/1176647403400847360
2019-09-24 23:59:35,WhirlingTim,,0,0,0,"Peter Schweizer on Joe Biden Lying: He Even Embellished Family’s Car Accident Tragedy http://bit.ly/2mASqki via @BreitbartNews How can a man lie about this?",,@BreitbartNews,,1176647398459936768,https://twitter.com/WhirlingTim/status/1176647398459936768
2019-09-24 23:59:34,cochise269,MichaelRapaport,0,0,0,"Great commentary. Do you have an answer for Joe Biden’s Ukraine issues. https://twitter.com/michaelrapaport/status/1176646703769763840 …",,,,1176647394529828866,https://twitter.com/cochise269/status/1176647394529828866
2019-09-24 23:59:31,MakiMono16,MakiMono16,0,0,0,"Hunter Biden found to be not involved in any of the corruption, and not aware. He was hired as a lawyer. VP Joe Biden spearheaded investigation into corruption.",,,,1176647381338734593,https://twitter.com/MakiMono16/status/1176647381338734593
2019-09-24 23:59:29,standforusa,GOPLeader,0,0,0,"@GOPLeader Do Not Impeach @realDonaldTrump. Please investigate Joe Biden. Corruption must STOP. https://twitter.com/gopleader/status/1176637249435426816 …",,@GOPLeader @realDonaldTrump,,1176647374531366918,https://twitter.com/standforusa/status/1176647374531366918
2019-09-24 23:59:27,jimmylittle,ParkHillsPam,1,0,1,"Hunter Biden didn't take any cash. Joe Biden withheld funds until a corrupt leader was dismissed. This is a made-up controversy https://theintercept.com/2019/05/10/rumors-joe-biden-scandal-ukraine-absolute-nonsense-reformer-says/ …",,,,1176647366759178240,https://twitter.com/jimmylittle/status/1176647366759178240
2019-09-24 23:59:22,akaginacaputo,,0,0,0,"CNN Guest: Hunter Biden Was Clearly 'Selling Influence,’ Joe Likely Knew https://www.breitbart.com/2020-election/2019/09/24/cnn-guest-hunter-biden-was-clearly-selling-influence-hard-to-imagine-joe-wasnt-aware/ …",,,,1176647345703915521,https://twitter.com/akaginacaputo/status/1176647345703915521
2019-09-24 23:59:15,realTRUMPERLAND,,0,5,9,"Funny thing is, I’m hearing this #ImpeachTrump thing is gonna actually hurt Joe Biden instead! pic.twitter.com/62V9BXdj2F",,,#ImpeachTrump,1176647316008079361,https://twitter.com/realTRUMPERLAND/status/1176647316008079361
2019-09-24 23:59:12,lite2840,MSNBC,0,0,1,"He should be replacing Trump’s name with Joe Biden.",,,,1176647302490075136,https://twitter.com/lite2840/status/1176647302490075136
2019-09-24 23:59:12,ArmyMartillo,Hoosier84,1,0,1,"Let me put it to you like this. Envision this scenario. Replace Hunter Biden with Eric Trump. And what Joe Biden did as V.P...say POTUS Trump did. Now what?",,,,1176647301000921088,https://twitter.com/ArmyMartillo/status/1176647301000921088
2019-09-24 23:59:10,thetruthbehold1,,0,0,0,"Republican National Committee Chairwoman Ronna McDaniel is calling on former Vice President Joe Biden to release transcripts of conversations he had with Chinese and Ukrainian officials while he served in the Obama White House. pic.twitter.com/Z0Ic6ipSMa",,,,1176647294701244421,https://twitter.com/thetruthbehold1/status/1176647294701244421
