date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-08-08 23:59:59,JubileeDJ,,0,0,5,"bernie sanders on joe rogan is like one of those things where a combo of 2 awful things might cancel each other out and it will be great",,,,1159615269645324288,https://twitter.com/JubileeDJ/status/1159615269645324288
2019-08-08 23:59:42,007robertamac,,0,0,0,"Why Surprising Numbers of Republicans Vote for Bernie Sanders https://www.commondreams.org/views/2015/08/19/why-surprising-numbers-republicans-vote-bernie-sanders?utm_campaign=shareaholic&utm_medium=referral&utm_source=facebook …",,,,1159615197000208384,https://twitter.com/007robertamac/status/1159615197000208384
2019-08-08 23:59:40,fairside231,,0,0,0,"5.25 Million views and trending in youtube Joe Rogan Experience #1330 - Bernie Sanders https://youtu.be/2O-iLk1G_ng via @YouTube",,@YouTube,#1330,1159615188745818112,https://twitter.com/fairside231/status/1159615188745818112
2019-08-08 23:59:38,ceverett1961,BattlerapSUCKS,0,0,0,"Ok then let’s go down that road. The shooter in Dayton was pro Elizabeth Warren and Bernie Sanders. Let’s look at everything they’ve said. I’m sure we could somehow tie them to it and make them responsible for that despicable act!",,,,1159615180386504704,https://twitter.com/ceverett1961/status/1159615180386504704
2019-08-08 23:59:29,James3121948,,0,0,1,"They should start a union for all Walmart employees, they get treated poorly, somebody needs to stick up for them, c'mon Bernie Sanders, this is your time to shine, imagine all those votes!",,,,1159615145481515008,https://twitter.com/James3121948/status/1159615145481515008
2019-08-08 23:59:25,Chualland,PhotonicFab,1,0,0,"SOrry sometimes going through twitter it is hard to tell, especially since she is so pro- Medicare 4 all and pro Bernie Sanders",,,,1159615128515465216,https://twitter.com/Chualland/status/1159615128515465216
2019-08-08 23:59:23,bcoop_az,T4RIG,1,0,0,"So has Bernie Sanders but I’m still gonna vote for him",,,,1159615120483336192,https://twitter.com/bcoop_az/status/1159615120483336192
2019-08-08 23:58:30,GnarlyCarly077,,0,0,1,"If you haven’t watched the Bernie Sanders interview with Joe Rogan yet, you definitely should. It’s well worth the hour.",,,,1159614895178092544,https://twitter.com/GnarlyCarly077/status/1159614895178092544
2019-08-08 23:58:00,ohHillturtle,,0,0,1,"Yo why’s @joerogan gotta ask Bernie Sanders where he gets his weed from?! Lol",,@joerogan,,1159614769978138625,https://twitter.com/ohHillturtle/status/1159614769978138625
2019-08-08 23:57:56,gcippon,Truth_Sirum,1,1,1,"If I get paid $10 every time I pissed someone off...I'd be worth more than Bernie Sanders.",,,,1159614753788051456,https://twitter.com/gcippon/status/1159614753788051456
