,Aug8,Aug15,Aug27,Sept7,Sept11,Sept12,Sept17,Sept21,Sept24
Negative,0.12768,0.07592,0.11717,0.09167,0.09255000000000001,0.06443,0.09098,0.12237,0.09347
Positive,0.07823,0.11083,0.07557,0.09277,0.11177,0.09887,0.08822,0.07416,0.07295
