,Negative,Positive
Aug8,0.10073,0.10188
Aug15,0.06788,0.13062
Aug27,0.08026,0.109
Sept7,0.08866,0.13287
Sept11,0.06112,0.11366
Sept12,0.0713,0.09764
Sept17,0.07876999999999999,0.10619
Sept21,0.09815,0.09444
Sept24,0.04136,0.09838
Sept29,0.08754,0.09469
Oct3,0.09917,0.08078
Oct7,0.13376,0.08803
Oct16,0.11696000000000001,0.0763
