,Negative,Positive
Aug8,0.12768,0.07823
Aug15,0.07592,0.11083
Aug27,0.11717,0.07557
Sept7,0.09167,0.09277
Sept11,0.09255000000000001,0.11177
Sept12,0.06443,0.09887
Sept17,0.09098,0.08822
Sept21,0.12237,0.07416
Sept24,0.09347,0.07295
Sept29,0.09202,0.05762
Oct3,0.09292,0.06474
Oct7,0.11938,0.05896
Oct16,0.12026,0.08222
